00078c90	__10cIPCSystem	cIPCSystem::cIPCSystem()
0008bf60	Paint__14cSprABitmapAddR3cGDGt6tPoint1Zl	cSprABitmapAdd::Paint(cGD &, tPoint<long>)
000628d0	PutAnimBitmap_I__9cGD_LFB15R11cAnimBitmapUlRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB15::PutAnimBitmap_I(cAnimBitmap &, unsigned long, const cRectangle &, const tPoint<long> &, cPaletteFull *)
00078770	PutAnimBitmapAlfa_I__8cGD_SFB8R11cAnimBitmapUlRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_SFB8::PutAnimBitmapAlfa_I(cAnimBitmap &, unsigned long, const cRectangle &, const tPoint<long> &, cPaletteFull *)
000a5e20	__vt_14cIPCServer_IPX	cIPCServer_IPX virtual table
000c536c	_DYNAMIC	_DYNAMIC
000a8b20	__vt_11cMsgRecNode	cMsgRecNode virtual table
0004c120	Validate__7cDirent	cDirent::Validate()
00060c30	PutBitmapAlfa_I__9cGD_LFB15R7cBitmapRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB15::PutBitmapAlfa_I(cBitmap &, const cRectangle &, const tPoint<long> &, cPaletteFull *)
00053270	Open__24cCompatibilityFileSystemPCc16eFileOpeningModeb	cCompatibilityFileSystem::Open(const char *, eFileOpeningMode, bool)
000788e0	Refresh__8cGD_SFB8RC10cRectangle	cGD_SFB8::Refresh(const cRectangle &)
0007bcf0	EndPush__11cMemoryPipe	cMemoryPipe::EndPush()
0008afa0	__opPUc__8cStdConv	cStdConv::operator unsigned char *()
00093550	Disconnect__11cIPCO_TCPIP	cIPCO_TCPIP::Disconnect()
0007e600	ClearEntryString__12cVOMultiLineUc	cVOMultiLine::ClearEntryString(unsigned char)
0006b740	HLine__9cGD_LFB16RCt6tPoint1ZlUlG6cColor	cGD_LFB16::HLine(const tPoint<long> &, unsigned long, cColor)
0008a120	PutBitmapAdd__3cGDR7cBitmapRCt6tPoint1ZlRC10cRectangleP12cPaletteFull	cGD::PutBitmapAdd(cBitmap &, const tPoint<long> &, const cRectangle &, cPaletteFull *)
000884c0	Frame__3cGDRC10cRectangleG6cColor	cGD::Frame(const cRectangle &, cColor)
00079280	Read__9cIPCO_IPXPvUl	cIPCO_IPX::Read(void *, unsigned long)
0008b490	RestoreBg__7cSpriteR3cGDRQ27cSprite3cBg	cSprite::RestoreBg(cGD &, cSprite::cBg &)
00095420	SetBySys__8cDayTime	cDayTime::SetBySys()
000af22c	__vt_12cTimerSystem	cTimerSystem virtual table
00091d20	Stop__9cCD_Linux	cCD_Linux::Stop()
0008f110	SetPointerPos__V10cIntuitionRCt6tPoint1Zl	cIntuition::SetPointerPos(const tPoint<long> &) volatile
000c6f64	__ti5cFile	cFile type_info node
000786d0	FillAlfa__8cGD_SFB8G6cColorRC10cRectangle	cGD_SFB8::FillAlfa(cColor, const cRectangle &)
00053200	__tf11cEventMulti	cEventMulti type_info function
00086940	FrameAlpha__3cGDRC10cRectangleUlG6cColorbT1	cGD::FrameAlpha(const cRectangle &, unsigned long, cColor, bool, const cRectangle &)
00052f30	__10cEnvSystem	cEnvSystem::cEnvSystem()
000989b0	_._12cTimerSystem	cTimerSystem::~cTimerSystem()
00087c90	FillAlfa__11cGD_MinimalG6cColorRC10cRectangle	cGD_Minimal::FillAlfa(cColor, const cRectangle &)
00090a60	ACos__6DOUBLE	DOUBLE::ACos()
0005f0b0	AddNext__6cHNodeP6cHNode	cHNode::AddNext(cHNode *)
00065560	Fill_I__9cGD_LFB15G6cColorRC10cRectangle	cGD_LFB15::Fill_I(cColor, const cRectangle &)
00084c10	StrCopy__FPCcPcUl	StrCopy(const char *, char *, unsigned long)
00042b30	_._8cConsole	cConsole::~cConsole()
0007f790	GetAddr__10cPalette15	cPalette15::GetAddr()
000a0848	LDBRET_FileNotFound	LDBRET_FileNotFound
0004c270	GetBasename__7cDirent	cDirent::GetBasename()
000439d0	InsertChar__11cLineEditorc	cLineEditor::InsertChar(char)
0006f810	CalcAddr__9cGD_LFB24RCt6tPoint1Zl	cGD_LFB24::CalcAddr(const tPoint<long> &)
00078900	CalcAddr__8cGD_SFB8RCt6tPoint1Zl	cGD_SFB8::CalcAddr(const tPoint<long> &)
0004faf0	Const__16cData_AnimBitmapPc	cData_AnimBitmap::Const(char *)
