	memcpy	memcpy
	monstartup	monstartup
	MoveToCenter__8cVObjectP8cVObject	cVObject::MoveToCenter(cVObject *)
	Notify__8cVObjectRC10sVOMessage	cVObject::Notify(const sVOMessage &)
	Open__10cDirectory	cDirectory::Open()
	OpenDisplay__4cVVCRC13cVModeRequest	cVVC::OpenDisplay(const cVModeRequest &)
	OpenR__5cFileb	cFile::OpenR(bool)
	OpenR__9cTextFileb	cTextFile::OpenR(bool)
	OpenW__5cFile	cFile::OpenW()
	Paint__10cVOAButtonR3cGDRCt6tPoint1ZlRC10cRectangle	cVOAButton::Paint(cGD &, const tPoint<long> &, const cRectangle &)
	Paint__9cVOBitmapR3cGDRCt6tPoint1ZlRC10cRectangle	cVOBitmap::Paint(cGD &, const tPoint<long> &, const cRectangle &)
	Play__12cSoundServerR3cAO	cSoundServer::Play(cAO &)
	Play__13cAnimSkeletonb	cAnimSkeleton::Play(bool)
	Play__4cVCDUl	cVCD::Play(unsigned long)
	PlayFLCFile__FPcR3cGDRCt6tPoint1Zli	PlayFLCFile(char *, cGD &, const tPoint<long> &, int)
	PlayLoop__12cSoundServerR3cAO	cSoundServer::PlayLoop(cAO &)
	Press__10cVOAButton	cVOAButton::Press()
	Print__8cConsolePCce	cConsole::Print(const char *, ...)
	printf	printf
	Process__10cVOAButtonR6sInput	cVOAButton::Process(sInput &)
	Process__8cConsolePCc	cConsole::Process(const char *)
	Process__9cVOBitmapR6sInput	cVOBitmap::Process(sInput &)
	ProcIniFile__10cEnvSystemPCcUl	cEnvSystem::ProcIniFile(const char *, unsigned long)
	pthread_create	pthread_create
	pthread_getspecific	pthread_getspecific
	pthread_key_create	pthread_key_create
	pthread_key_delete	pthread_key_delete
	pthread_mutex_lock	pthread_mutex_lock
	pthread_mutex_trylock	pthread_mutex_trylock
	pthread_mutex_unlock	pthread_mutex_unlock
	pthread_once	pthread_once
	pthread_setspecific	pthread_setspecific
	puts	puts
	PutText__FR3cGDR5cFontPCcGt6tPoint1ZlP12cPaletteFull	PutText(cGD &, cFont &, const char *, tPoint<long>, cPaletteFull *)
	PutText__FR3cGDR5cFontPCcGt6tPoint1ZlRC10cRectangle14eTextAlignmentP12cPaletteFull	PutText(cGD &, cFont &, const char *, tPoint<long>, const cRectangle &, eTextAlignment, cPaletteFull *)
	PutText__FR3cGDR5cFontPCcGt6tPoint1ZlRC10cRectangleP12cPaletteFull	PutText(cGD &, cFont &, const char *, tPoint<long>, const cRectangle &, cPaletteFull *)
	RawkeyToAscii__9cKeyboard8eKeyCodeUc	cKeyboard::RawkeyToAscii(eKeyCode, unsigned char)
	Read__5cFilePvUl	cFile::Read(void *, unsigned long)
	Read__9cTextFilePvUl	cTextFile::Read(void *, unsigned long)
	ReadLine__9cTextFilePci	cTextFile::ReadLine(char *, int)
	Refresh__8cVObject	cVObject::Refresh()
	RefreshFocus__10cIntuition	cIntuition::RefreshFocus()
	RefreshTree__8cVObject	cVObject::RefreshTree()
	Release__10cVOAButton	cVOAButton::Release()
	remove	remove
	Reset__12cKeySequence	cKeySequence::Reset()
	RestoreShell__8cConsole	cConsole::RestoreShell()
	Rnd__7cRandom	cRandom::Rnd()
	Round__6DOUBLE	DOUBLE::Round()
	SaveAsBMP__FR7cBitmapPCc	SaveAsBMP(cBitmap &, const char *)
	ScreenShot__FPCc	ScreenShot(const char *)
	SeekB__5cFilel	cFile::SeekB(long)
	SeekB__9cTextFilel	cTextFile::SeekB(long)
	SeekC__5cFilel	cFile::SeekC(long)
	SeekE__5cFilel	cFile::SeekE(long)
	Send__10cMsgSenderG3PTR	cMsgSender::Send(PTR)
	Set__8cDayTimell	cDayTime::Set(long, long)
	SetBlockMode__5cFileb	cFile::SetBlockMode(bool)
	SetBySys__8cDayTime	cDayTime::SetBySys()
	SetCP__11cAnimBitmapUlRCt6tPoint1Zl	cAnimBitmap::SetCP(unsigned long, const tPoint<long> &)
	SetExitKey__10cVOConsole8eKeyCodeUc	cVOConsole::SetExitKey(eKeyCode, unsigned char)
	SetPalette__7cScreenR8cPalette	cScreen::SetPalette(cPalette &)
	SetPointer__7cScreenP7cSprite	cScreen::SetPointer(cSprite *)
	SetRepeatMode__10cVOAButtonb	cVOAButton::SetRepeatMode(bool)
	SetRepeatValues__10cVOAButtonUlUlUlUl	cVOAButton::SetRepeatValues(unsigned long, unsigned long, unsigned long, unsigned long)
	SetSample__10cVOAButtonR7cSample	cVOAButton::SetSample(cSample &)
	SetSample__10cVOListReqR7cSample	cVOListReq::SetSample(cSample &)
	SetSoundSrv__10cVOAButtonR12cSoundServer	cVOAButton::SetSoundSrv(cSoundServer &)
	SetSoundSrv__10cVOListReqR12cSoundServer	cVOListReq::SetSoundSrv(cSoundServer &)
	Setup__10cVOConsoleP10cIntuitionRC10cRectangleR10cData_Fontb	cVOConsole::Setup(cIntuition *, const cRectangle &, cData_Font &, bool)
	SetVolume__3cAORC7cVolume	cAO::SetVolume(const cVolume &)
	Show__10cVOConsole	cVOConsole::Show()
	Sleep__11cSyncSystemUl	cSyncSystem::Sleep(unsigned long)
	sprintf	sprintf
	Sqrt__6DOUBLE	DOUBLE::Sqrt()
	sscanf	sscanf
	Stop__3cAO	cAO::Stop()
